Date,Region,Terrain,Infrastructure_Type,Project_Category,Voltage_Level_kV,Weather_Condition,Route_Length_km,ACSR_Conductor_m,Towers_Steel_Count,Insulators_Count,Power_Transformers_Count,Circuit_Breakers_Count,Concrete_m3
2021-01-04,West,Rural,Transmission_Line,System_Upgrade,400,Heatwave,28.79796256706104,193814.0,86.0,3096.0,0.0,0.0,14975.12
2021-01-05,Central,Coastal,Transmission_Line,New_Installation,400,Rainy,71.01752964078682,451267.0,203.0,7445.0,0.0,0.0,35653.18
2021-01-05,North,Mountainous,Transmission_Line,Maintenance,220,Snow,81.89901035606948,20306.0,2.0,928.0,0.0,0.0,1445.17
2021-01-06,West,Urban,Transmission_Line,Maintenance,220,Storm,71.69974507965829,18564.0,1.0,823.0,0.0,0.0,1174.34
2021-01-06,South,Rural,Substation,New_Installation,220,Snow,0.49963403434960363,575.0,10.0,475.0,2.0,2.0,723.85
2021-01-06,Central,Urban,Transmission_Line,Maintenance,132,Rainy,31.181008966920146,6886.0,0.0,279.0,0.0,0.0,335.94
2021-01-06,West,Coastal,Transmission_Line,System_Upgrade,66,Heatwave,58.840523103004,213957.0,179.0,1338.0,0.0,0.0,4535.57
2021-01-06,North,Urban,Transmission_Line,Maintenance,33,Heatwave,47.4413072556231,8694.0,1.0,157.0,0.0,0.0,101.93
2021-01-06,North,Mountainous,Transmission_Line,Emergency_Repair,220,Rainy,74.83613289957019,35451.0,0.0,441.0,0.0,0.0,2558.92
2021-01-07,East,Mountainous,Substation,Maintenance,66,Snow,0.8194857137860088,521.0,11.0,600.0,0.0,0.0,20.27
2021-01-07,East,Coastal,Transmission_Line,Maintenance,220,Storm,86.65064957667364,21738.0,2.0,1247.0,0.0,0.0,1487.0
2021-01-08,South,Urban,Transmission_Line,New_Installation,33,Clear,46.03243847849127,154237.0,141.0,875.0,0.0,0.0,2277.99
2021-01-08,West,Coastal,Transmission_Line,Emergency_Repair,220,Heatwave,8.803921667905279,4587.0,1.0,59.0,0.0,0.0,247.3
2021-01-08,West,Urban,Substation,System_Upgrade,66,Rainy,0.13299174418139684,3789.0,11.0,388.0,3.0,2.0,351.72
2021-01-09,East,Rural,Substation,Maintenance,132,Snow,1.3288109135606407,325.0,16.0,1134.0,0.0,1.0,55.48
2021-01-09,West,Mountainous,Substation,New_Installation,33,Storm,1.1270509247354692,3278.0,10.0,596.0,3.0,6.0,1014.49
2021-01-10,West,Coastal,Transmission_Line,Maintenance,66,Snow,56.560741118847425,9857.0,1.0,294.0,0.0,0.0,290.15
2021-01-10,North,Rural,Substation,New_Installation,400,Storm,1.6010171304540466,1715.0,11.0,195.0,1.0,6.0,800.26
2021-01-10,East,Rural,Substation,Maintenance,400,Clear,0.8138684458154671,133.0,16.0,481.0,0.0,0.0,102.38
2021-01-10,Central,Coastal,Transmission_Line,Emergency_Repair,400,Clear,99.56746477152355,72686.0,2.0,1064.0,0.0,0.0,4917.72
2021-01-10,East,Coastal,Substation,New_Installation,132,Rainy,1.8965071911587192,3086.0,10.0,924.0,3.0,5.0,727.4
2021-01-11,Central,Rural,Transmission_Line,System_Upgrade,220,Rainy,6.231367879993348,31186.0,17.0,393.0,0.0,0.0,2126.13
2021-01-11,North,Urban,Substation,Maintenance,220,Storm,1.8019112595776368,292.0,18.0,565.0,0.0,0.0,66.81
2021-01-11,South,Rural,Transmission_Line,Maintenance,220,Storm,69.65221678516018,19466.0,2.0,954.0,0.0,0.0,1217.81
2021-01-11,West,Coastal,Transmission_Line,System_Upgrade,132,Storm,52.69858199752331,235235.0,163.0,2581.0,0.0,0.0,8577.02
2021-01-11,North,Rural,Transmission_Line,New_Installation,400,Storm,60.36101003893403,420774.0,193.0,6486.0,0.0,0.0,38154.79
2021-01-12,West,Urban,Transmission_Line,System_Upgrade,220,Clear,84.97644951011053,449615.0,251.0,5617.0,0.0,0.0,24492.18
2021-01-12,South,Mountainous,Substation,New_Installation,132,Rainy,1.9069710449387451,4612.0,5.0,900.0,3.0,7.0,393.8
2021-01-12,South,Mountainous,Substation,Maintenance,132,Rainy,1.1646338869992408,475.0,5.0,558.0,0.0,0.0,65.62
2021-01-13,North,Rural,Substation,System_Upgrade,66,Heatwave,0.44445374965832085,2288.0,16.0,241.0,3.0,3.0,116.15
2021-01-13,South,Urban,Transmission_Line,System_Upgrade,220,Rainy,65.77662846311517,309099.0,199.0,4963.0,0.0,0.0,18488.36
2021-01-13,Central,Mountainous,Transmission_Line,Maintenance,400,Rainy,12.240801996915163,4066.0,0.0,306.0,0.0,0.0,353.43
2021-01-14,South,Rural,Transmission_Line,Maintenance,33,Snow,65.33817999931244,10251.0,1.0,250.0,0.0,0.0,146.63
2021-01-14,West,Rural,Transmission_Line,Emergency_Repair,132,Snow,81.81812124005297,37666.0,0.0,332.0,0.0,0.0,1721.1
2021-01-14,West,Urban,Substation,System_Upgrade,66,Heatwave,0.7713297293231851,4416.0,9.0,364.0,3.0,7.0,976.96
2021-01-14,West,Coastal,Transmission_Line,New_Installation,33,Storm,11.7625203042415,40825.0,37.0,203.0,0.0,0.0,633.42
2021-01-14,West,Rural,Transmission_Line,System_Upgrade,132,Heatwave,70.7614821992261,290370.0,202.0,2612.0,0.0,0.0,14981.2
2021-01-14,Central,Coastal,Substation,Maintenance,66,Heatwave,0.7447246253203003,263.0,17.0,926.0,0.0,0.0,97.61
2021-01-14,East,Coastal,Transmission_Line,Maintenance,220,Clear,28.664181928652404,6939.0,0.0,299.0,0.0,0.0,408.3
2021-01-14,North,Mountainous,Substation,Maintenance,66,Rainy,1.4094453419921598,288.0,10.0,561.0,0.0,0.0,41.61
2021-01-14,West,Coastal,Transmission_Line,Maintenance,132,Clear,97.11071454633552,23041.0,2.0,876.0,0.0,0.0,717.24
2021-01-15,South,Urban,Transmission_Line,System_Upgrade,220,Rainy,75.80562585544506,377657.0,232.0,5427.0,0.0,0.0,24836.91
2021-01-15,West,Mountainous,Substation,Maintenance,400,Heatwave,1.0335650770628133,281.0,7.0,380.0,0.0,0.0,38.45
2021-01-15,South,Mountainous,Transmission_Line,System_Upgrade,66,Rainy,62.048518630294076,231461.0,203.0,1905.0,0.0,0.0,6524.82
2021-01-15,South,Mountainous,Substation,New_Installation,33,Storm,0.3703299265029988,2325.0,12.0,395.0,3.0,8.0,756.73
2021-01-16,West,Rural,Transmission_Line,Emergency_Repair,220,Storm,82.25526213986676,39344.0,0.0,474.0,0.0,0.0,2047.9
2021-01-16,Central,Rural,Transmission_Line,System_Upgrade,220,Heatwave,62.408026008084796,305870.0,204.0,3635.0,0.0,0.0,16174.01
2021-01-16,South,Coastal,Substation,Maintenance,400,Snow,1.935077756196233,353.0,10.0,741.0,0.0,1.0,37.44
2021-01-16,South,Mountainous,Transmission_Line,Maintenance,66,Storm,98.05091998754506,19412.0,3.0,512.0,0.0,0.0,403.98
2021-01-17,West,Mountainous,Transmission_Line,Maintenance,33,Heatwave,38.68573578183829,6476.0,1.0,148.0,0.0,0.0,101.95
2021-01-17,South,Urban,Substation,System_Upgrade,400,Clear,1.9782372774740746,861.0,11.0,290.0,1.0,6.0,880.54
2021-01-17,South,Coastal,Substation,System_Upgrade,66,Snow,1.9179837033949214,1834.0,18.0,171.0,3.0,3.0,861.28
2021-01-17,West,Urban,Transmission_Line,New_Installation,33,Storm,65.78403656148794,236551.0,216.0,1013.0,0.0,0.0,3208.26
2021-01-17,West,Coastal,Transmission_Line,System_Upgrade,33,Heatwave,36.679120703619844,123006.0,119.0,635.0,0.0,0.0,1614.88
2021-01-17,North,Coastal,Substation,Maintenance,132,Heatwave,1.5313464194207613,105.0,17.0,239.0,0.0,1.0,9.76
2021-01-18,Central,Rural,Substation,Maintenance,33,Clear,0.6153507395766581,418.0,18.0,166.0,0.0,1.0,16.51
2021-01-18,Central,Rural,Substation,System_Upgrade,66,Clear,1.2967034036817031,2411.0,5.0,766.0,2.0,9.0,128.44
2021-01-18,South,Urban,Transmission_Line,Maintenance,400,Snow,7.335253310958583,2334.0,0.0,149.0,0.0,0.0,198.07
2021-01-18,Central,Coastal,Substation,System_Upgrade,400,Storm,1.2943073134339298,4321.0,10.0,1015.0,2.0,6.0,465.53
2021-01-19,South,Mountainous,Substation,Maintenance,132,Heatwave,1.9080557409937673,181.0,5.0,493.0,0.0,1.0,70.18
2021-01-19,North,Rural,Transmission_Line,New_Installation,66,Snow,27.338589057090868,100030.0,76.0,693.0,0.0,0.0,2210.62
2021-01-19,West,Mountainous,Transmission_Line,Maintenance,33,Snow,78.92705123799887,12726.0,2.0,247.0,0.0,0.0,189.5
2021-01-19,West,Urban,Substation,New_Installation,132,Clear,0.6575047448396429,3259.0,19.0,551.0,1.0,4.0,439.76
2021-01-19,West,Rural,Transmission_Line,Emergency_Repair,220,Heatwave,72.24572612922094,39495.0,1.0,499.0,0.0,0.0,1886.12
2021-01-19,Central,Rural,Transmission_Line,Maintenance,66,Rainy,71.49737513798492,12699.0,2.0,376.0,0.0,0.0,378.52
2021-01-20,North,Coastal,Substation,Maintenance,132,Clear,0.4510017092119092,204.0,16.0,653.0,0.0,1.0,80.15
2021-01-20,Central,Urban,Substation,New_Installation,400,Heatwave,1.2345430297999378,1222.0,10.0,608.0,2.0,3.0,462.92
2021-01-20,Central,Coastal,Transmission_Line,Maintenance,132,Snow,86.6210505457496,18259.0,2.0,910.0,0.0,0.0,830.19
2021-01-20,North,Rural,Substation,Emergency_Repair,220,Snow,0.8268128319351663,2292.0,18.0,392.0,0.0,7.0,289.41
2021-01-20,North,Urban,Transmission_Line,New_Installation,66,Storm,72.47631037814669,252565.0,217.0,1956.0,0.0,0.0,7367.67
2021-01-20,North,Rural,Transmission_Line,Maintenance,132,Rainy,69.07085334728191,16268.0,2.0,573.0,0.0,0.0,668.79
2021-01-20,North,Urban,Substation,System_Upgrade,33,Clear,0.589276603421147,1601.0,9.0,206.0,2.0,5.0,775.16
2021-01-20,West,Rural,Substation,Maintenance,66,Storm,1.8454227635928364,501.0,18.0,701.0,0.0,0.0,80.45
2021-01-20,East,Mountainous,Transmission_Line,System_Upgrade,132,Storm,58.53364799104593,261343.0,170.0,2646.0,0.0,0.0,12626.82
2021-01-20,East,Mountainous,Transmission_Line,New_Installation,132,Rainy,38.75280239652479,176322.0,118.0,1972.0,0.0,0.0,6813.76
2021-01-20,North,Coastal,Transmission_Line,Maintenance,66,Clear,20.61404569173149,4179.0,0.0,103.0,0.0,0.0,77.4
2021-01-21,East,Mountainous,Transmission_Line,System_Upgrade,400,Clear,49.97854347987805,334211.0,151.0,6322.0,0.0,0.0,31351.45
2021-01-22,East,Rural,Substation,Emergency_Repair,33,Snow,1.48721553201323,4436.0,15.0,479.0,0.0,7.0,581.62
2021-01-22,North,Rural,Transmission_Line,Maintenance,66,Clear,64.24582562824386,10912.0,2.0,362.0,0.0,0.0,313.98
2021-01-22,East,Mountainous,Transmission_Line,Maintenance,33,Storm,74.06999315751251,13096.0,2.0,229.0,0.0,0.0,150.16
2021-01-22,Central,Coastal,Transmission_Line,Maintenance,33,Snow,80.2172714685365,13401.0,2.0,308.0,0.0,0.0,162.81
2021-01-23,South,Mountainous,Substation,New_Installation,66,Clear,0.9379090563299359,792.0,12.0,436.0,1.0,2.0,787.92
2021-01-24,South,Urban,Substation,Emergency_Repair,132,Rainy,1.0883157496461555,2124.0,10.0,767.0,0.0,4.0,169.72
2021-01-24,North,Urban,Transmission_Line,Maintenance,400,Storm,98.7101006001846,37035.0,2.0,1885.0,0.0,0.0,2189.19
2021-01-24,West,Urban,Transmission_Line,Maintenance,33,Heatwave,96.96488260298223,16416.0,2.0,350.0,0.0,0.0,203.12
2021-01-24,North,Mountainous,Substation,System_Upgrade,33,Rainy,0.8881525370418323,2082.0,6.0,496.0,2.0,9.0,784.09
2021-01-24,West,Mountainous,Substation,Maintenance,132,Rainy,1.4018410959923406,264.0,5.0,143.0,0.0,1.0,13.56
2021-01-24,South,Mountainous,Transmission_Line,Maintenance,66,Clear,30.421066941146016,5114.0,0.0,142.0,0.0,0.0,121.08
2021-01-25,North,Urban,Transmission_Line,System_Upgrade,400,Snow,19.506266835386597,141785.0,56.0,2110.0,0.0,0.0,11727.54
2021-01-25,Central,Coastal,Substation,Emergency_Repair,33,Snow,1.5599623229850939,2389.0,11.0,241.0,0.0,2.0,179.47
2021-01-25,East,Rural,Substation,Maintenance,33,Storm,0.9287419418942461,168.0,13.0,531.0,0.0,1.0,60.24
2021-01-25,West,Mountainous,Substation,New_Installation,66,Clear,0.43640032693503605,4578.0,8.0,883.0,1.0,3.0,961.81
2021-01-26,East,Coastal,Transmission_Line,Maintenance,132,Snow,77.09055273445198,17447.0,2.0,715.0,0.0,0.0,788.17
2021-01-26,East,Rural,Transmission_Line,Maintenance,220,Heatwave,91.94118418043222,25852.0,2.0,1000.0,0.0,0.0,1189.11
2021-01-26,North,Rural,Transmission_Line,Maintenance,132,Clear,93.660982543485,18760.0,2.0,836.0,0.0,0.0,882.52
2021-01-26,East,Rural,Transmission_Line,System_Upgrade,33,Clear,61.65170230394886,209512.0,202.0,1017.0,0.0,0.0,3189.16
2021-01-26,Central,Coastal,Substation,System_Upgrade,33,Snow,1.0113181450522597,961.0,13.0,237.0,2.0,2.0,166.58
2021-01-26,East,Coastal,Transmission_Line,System_Upgrade,400,Rainy,18.477325685371532,116593.0,51.0,2031.0,0.0,0.0,9391.87
2021-01-26,North,Urban,Transmission_Line,Maintenance,132,Clear,80.3150314043298,18297.0,2.0,827.0,0.0,0.0,814.27
2021-01-26,Central,Coastal,Substation,Emergency_Repair,220,Rainy,1.8961139889905505,3650.0,14.0,748.0,0.0,2.0,244.21
2021-01-27,South,Coastal,Substation,Maintenance,400,Storm,1.7899747858730537,432.0,5.0,800.0,0.0,1.0,75.41
2021-01-27,East,Coastal,Transmission_Line,New_Installation,220,Storm,76.41942817157873,387864.0,208.0,5450.0,0.0,0.0,26173.84
2021-01-27,North,Rural,Transmission_Line,New_Installation,400,Snow,5.434041946123724,39407.0,17.0,699.0,0.0,0.0,3482.71
2021-01-27,South,Mountainous,Substation,Maintenance,132,Storm,0.8747266617539473,327.0,7.0,780.0,0.0,0.0,73.72
2021-01-29,South,Urban,Transmission_Line,System_Upgrade,33,Snow,44.017846311671754,149047.0,119.0,802.0,0.0,0.0,2339.55
2021-01-29,West,Mountainous,Transmission_Line,Maintenance,220,Snow,89.96498213117452,21635.0,2.0,1342.0,0.0,0.0,1544.08
2021-01-29,Central,Mountainous,Substation,Maintenance,132,Rainy,0.22473636214619183,470.0,8.0,445.0,0.0,1.0,87.06
2021-01-29,East,Coastal,Substation,System_Upgrade,220,Rainy,1.1093229093756605,1900.0,6.0,616.0,3.0,2.0,812.25
2021-01-29,North,Urban,Substation,New_Installation,132,Storm,0.3586553674615226,1379.0,11.0,433.0,1.0,2.0,368.23
2021-01-29,West,Mountainous,Transmission_Line,Emergency_Repair,400,Rainy,67.91792185526737,49227.0,2.0,915.0,0.0,0.0,3635.85
2021-01-29,Central,Mountainous,Substation,Maintenance,132,Clear,1.6052854275385438,306.0,19.0,817.0,0.0,0.0,65.92
2021-01-31,West,Urban,Substation,New_Installation,400,Heatwave,1.3197225027460995,3455.0,20.0,633.0,1.0,5.0,247.05
2021-01-31,Central,Coastal,Transmission_Line,System_Upgrade,33,Clear,80.48558839695946,278271.0,242.0,1181.0,0.0,0.0,3040.43
2021-01-31,Central,Mountainous,Transmission_Line,New_Installation,400,Clear,62.71214828452863,395689.0,179.0,6591.0,0.0,0.0,37520.87
2021-01-31,East,Rural,Substation,Maintenance,66,Snow,0.46069430990226523,296.0,16.0,427.0,0.0,0.0,61.6
2021-02-01,Central,Mountainous,Transmission_Line,Maintenance,33,Heatwave,41.3530342577256,6411.0,1.0,151.0,0.0,0.0,105.14
2021-02-01,West,Rural,Transmission_Line,New_Installation,132,Snow,95.90253753873922,416813.0,290.0,3541.0,0.0,0.0,18426.1
2021-02-01,Central,Coastal,Transmission_Line,New_Installation,132,Rainy,32.376616713910636,134139.0,87.0,1204.0,0.0,0.0,6893.78
2021-02-02,East,Mountainous,Transmission_Line,New_Installation,66,Rainy,10.97192650501825,39559.0,35.0,350.0,0.0,0.0,1162.56
2021-02-02,East,Urban,Substation,New_Installation,132,Heatwave,0.8311769523015499,4627.0,7.0,767.0,3.0,4.0,476.92
2021-02-02,West,Urban,Transmission_Line,Emergency_Repair,33,Storm,39.79917629019088,14556.0,1.0,73.0,0.0,0.0,174.85
2021-02-02,South,Mountainous,Transmission_Line,Maintenance,33,Rainy,49.67933749457969,8407.0,1.0,152.0,0.0,0.0,109.37
2021-02-03,South,Coastal,Transmission_Line,Maintenance,400,Clear,58.22882509771519,20587.0,1.0,1244.0,0.0,0.0,1452.98
2021-02-03,Central,Coastal,Transmission_Line,Maintenance,220,Heatwave,99.2802103181735,24281.0,2.0,1436.0,0.0,0.0,1492.32
2021-02-03,North,Urban,Transmission_Line,System_Upgrade,132,Heatwave,76.84222450767163,316169.0,225.0,2912.0,0.0,0.0,16066.98
2021-02-03,Central,Mountainous,Substation,System_Upgrade,66,Rainy,0.1681924520896496,2216.0,14.0,139.0,3.0,9.0,411.64
2021-02-03,West,Coastal,Transmission_Line,Emergency_Repair,33,Rainy,72.7076711796187,24513.0,0.0,117.0,0.0,0.0,302.14
2021-02-03,West,Urban,Transmission_Line,System_Upgrade,33,Snow,83.30201609911705,303679.0,249.0,1695.0,0.0,0.0,3560.38
2021-02-04,West,Rural,Transmission_Line,Maintenance,33,Snow,90.0849201940167,15047.0,2.0,378.0,0.0,0.0,234.86
2021-02-04,West,Mountainous,Substation,Maintenance,220,Clear,0.9056115955145624,525.0,9.0,560.0,0.0,0.0,47.12
2021-02-04,West,Rural,Transmission_Line,Maintenance,220,Heatwave,34.794428970055705,9506.0,1.0,413.0,0.0,0.0,626.05
2021-02-04,East,Rural,Transmission_Line,Maintenance,132,Storm,84.73585530870763,17960.0,2.0,800.0,0.0,0.0,854.71
2021-02-05,South,Coastal,Substation,Maintenance,66,Storm,1.5774692777812238,77.0,4.0,223.0,0.0,0.0,67.17
2021-02-05,West,Coastal,Transmission_Line,Maintenance,220,Heatwave,55.92403274675345,15055.0,1.0,749.0,0.0,0.0,673.47
2021-02-06,North,Coastal,Transmission_Line,System_Upgrade,400,Clear,16.19886451943946,105876.0,52.0,2004.0,0.0,0.0,10538.03
2021-02-06,North,Mountainous,Transmission_Line,System_Upgrade,220,Snow,66.9173272114696,321950.0,192.0,3983.0,0.0,0.0,18682.44
2021-02-07,North,Rural,Transmission_Line,Maintenance,33,Snow,11.238418811123047,1821.0,0.0,42.0,0.0,0.0,23.38
2021-02-07,North,Mountainous,Transmission_Line,Emergency_Repair,66,Snow,14.534846445565886,5632.0,0.0,40.0,0.0,0.0,128.48
2021-02-08,East,Coastal,Substation,Maintenance,132,Storm,0.7291664539579398,431.0,15.0,147.0,0.0,1.0,56.62
2021-02-08,North,Rural,Transmission_Line,New_Installation,220,Storm,40.261672202465924,215812.0,114.0,2697.0,0.0,0.0,13424.47
2021-02-08,West,Mountainous,Transmission_Line,Maintenance,33,Clear,48.88753369457661,8629.0,1.0,210.0,0.0,0.0,105.81
2021-02-08,Central,Mountainous,Transmission_Line,Maintenance,400,Storm,37.21858112578113,11757.0,1.0,770.0,0.0,0.0,1101.65
2021-02-08,North,Urban,Transmission_Line,New_Installation,400,Rainy,8.209874766279333,52685.0,22.0,829.0,0.0,0.0,4257.77
2021-02-08,East,Mountainous,Transmission_Line,System_Upgrade,132,Storm,19.954490020444695,79788.0,56.0,993.0,0.0,0.0,3979.56
2021-02-09,East,Coastal,Substation,Maintenance,132,Snow,0.3187127350808652,420.0,10.0,837.0,0.0,1.0,78.0
2021-02-09,North,Mountainous,Transmission_Line,Maintenance,220,Clear,45.962441863766145,12561.0,1.0,492.0,0.0,0.0,584.45
2021-02-09,Central,Rural,Substation,New_Installation,132,Heatwave,0.5030449616451627,1140.0,18.0,123.0,3.0,7.0,422.92
2021-02-09,North,Mountainous,Substation,New_Installation,33,Heatwave,0.6577360565004369,3945.0,6.0,726.0,1.0,9.0,864.65
2021-02-09,East,Urban,Substation,System_Upgrade,33,Clear,0.9959781803929797,3094.0,11.0,781.0,1.0,3.0,94.72
2021-02-10,South,Rural,Transmission_Line,Maintenance,33,Rainy,27.378376682000162,4416.0,0.0,101.0,0.0,0.0,56.41
2021-02-10,West,Rural,Substation,System_Upgrade,220,Heatwave,0.5672652983335127,1324.0,16.0,150.0,1.0,5.0,453.07
2021-02-10,East,Urban,Substation,System_Upgrade,220,Snow,1.6829739370344805,3821.0,19.0,350.0,2.0,8.0,731.13
2021-02-10,North,Coastal,Substation,Maintenance,132,Heatwave,1.141365049315234,343.0,4.0,825.0,0.0,1.0,93.24
2021-02-11,West,Rural,Substation,Maintenance,220,Heatwave,1.7278429580019938,151.0,20.0,319.0,0.0,0.0,33.18
2021-02-11,North,Coastal,Transmission_Line,System_Upgrade,33,Snow,53.87996194582499,173233.0,177.0,1036.0,0.0,0.0,2333.11
2021-02-11,North,Rural,Transmission_Line,System_Upgrade,66,Storm,91.38010208021555,311083.0,279.0,2607.0,0.0,0.0,9265.08
2021-02-11,South,Rural,Substation,Maintenance,33,Rainy,0.5840099358367029,174.0,14.0,283.0,0.0,0.0,40.08
2021-02-11,West,Coastal,Transmission_Line,Emergency_Repair,66,Snow,63.5836531774841,25819.0,0.0,141.0,0.0,0.0,636.5
2021-02-12,West,Rural,Transmission_Line,Emergency_Repair,132,Snow,52.80701851611849,24068.0,1.0,199.0,0.0,0.0,906.6
2021-02-12,South,Coastal,Transmission_Line,Maintenance,400,Clear,92.27563803490334,34285.0,2.0,2003.0,0.0,0.0,2339.07
2021-02-13,East,Urban,Substation,Maintenance,220,Rainy,0.8951111979289291,109.0,16.0,779.0,0.0,1.0,107.15
2021-02-13,North,Coastal,Transmission_Line,System_Upgrade,220,Storm,86.20826226032392,407255.0,276.0,6146.0,0.0,0.0,25578.42
2021-02-13,Central,Urban,Substation,Maintenance,33,Snow,1.1714176961511418,279.0,16.0,554.0,0.0,1.0,11.21
2021-02-14,North,Rural,Substation,New_Installation,33,Storm,1.446231608534945,2882.0,9.0,368.0,1.0,5.0,552.25
2021-02-14,North,Coastal,Substation,Maintenance,66,Snow,1.785096876927157,54.0,8.0,437.0,0.0,0.0,24.52
2021-02-14,East,Rural,Transmission_Line,New_Installation,220,Snow,99.70610939695554,492054.0,295.0,5557.0,0.0,0.0,24534.63
2021-02-14,North,Coastal,Substation,Maintenance,132,Clear,1.4891651614306671,262.0,6.0,588.0,0.0,0.0,93.77
2021-02-14,South,Urban,Substation,System_Upgrade,33,Heatwave,0.6975917105437871,3343.0,11.0,472.0,1.0,8.0,367.51
2021-02-14,South,Urban,Substation,New_Installation,220,Rainy,0.6681227872550084,1481.0,15.0,335.0,2.0,6.0,1020.02
2021-02-15,West,Coastal,Transmission_Line,Maintenance,400,Clear,34.3648633647366,11104.0,1.0,849.0,0.0,0.0,1078.72
2021-02-15,Central,Urban,Transmission_Line,Maintenance,66,Storm,14.301290428452335,2569.0,0.0,73.0,0.0,0.0,57.99
2021-02-16,North,Rural,Substation,Maintenance,33,Snow,0.20183789466485177,505.0,6.0,393.0,0.0,1.0,41.16
2021-02-16,North,Rural,Transmission_Line,Maintenance,33,Snow,60.18007325075127,10253.0,1.0,241.0,0.0,0.0,116.88
2021-02-16,East,Mountainous,Transmission_Line,Maintenance,132,Rainy,82.00591008606078,17506.0,2.0,621.0,0.0,0.0,721.24
2021-02-17,South,Urban,Transmission_Line,New_Installation,33,Clear,8.432781282459217,30521.0,24.0,147.0,0.0,0.0,449.44
2021-02-17,Central,Rural,Substation,Maintenance,220,Clear,1.1766051632014969,67.0,10.0,637.0,0.0,1.0,79.55
2021-02-18,West,Coastal,Transmission_Line,Maintenance,220,Storm,40.31730651616878,11004.0,1.0,408.0,0.0,0.0,680.85
2021-02-18,South,Urban,Substation,Maintenance,220,Clear,1.7957218848594751,405.0,15.0,764.0,0.0,1.0,87.04
2021-02-18,West,Rural,Transmission_Line,System_Upgrade,400,Clear,18.811758243684192,133368.0,59.0,2454.0,0.0,0.0,8837.69
2021-02-19,East,Urban,Substation,Maintenance,400,Heatwave,1.170520809518137,155.0,13.0,669.0,0.0,0.0,76.75
2021-02-20,East,Coastal,Substation,New_Installation,33,Rainy,1.9447493432901057,721.0,17.0,630.0,1.0,7.0,146.71
2021-02-20,North,Rural,Substation,Emergency_Repair,400,Clear,0.755562636283619,4223.0,5.0,182.0,0.0,9.0,901.07
2021-02-20,Central,Mountainous,Transmission_Line,Maintenance,400,Storm,75.46880657288303,23519.0,2.0,1780.0,0.0,0.0,2446.51
2021-02-20,West,Mountainous,Substation,Maintenance,132,Snow,1.7766571945761622,406.0,5.0,241.0,0.0,0.0,86.75
2021-02-21,South,Urban,Transmission_Line,Maintenance,400,Clear,22.69000343481423,8413.0,0.0,574.0,0.0,0.0,640.87
2021-02-21,East,Coastal,Substation,Maintenance,66,Clear,1.9858016424978076,509.0,8.0,686.0,0.0,1.0,33.73
2021-02-21,North,Rural,Transmission_Line,Emergency_Repair,66,Snow,81.89173317870787,33428.0,1.0,236.0,0.0,0.0,769.02
2021-02-22,North,Coastal,Transmission_Line,System_Upgrade,66,Heatwave,18.06860452069126,69185.0,51.0,434.0,0.0,0.0,1581.06
